Player,Pos,Squad,90s,Assists,Expected Goals Assists,Expected Assists,Assists Overperformance,Key Passes,Passes into final third,Passes into penalty box,Crosses into penalty box,Progressive passes,Shot-created Actions,Goal-created Actions,Touches in Mid 3rd,Touches in Attacking 3rd,Touches in penalty box,Attempted Take-ons,Take-ons Success %,Carries,Progressive Distance,Progressive Carries,Progressive Passes Received
Hannah Blake,"MF,FW",Adelaide Utd,17.6,0.06,0.07,0.14,-0.02,1.14,2.05,0.91,0.23,3.69,3.35,0.28,21.6,17.7,1.93,2.39,50,28.3,70.1,2.33,5.97
Chelsea Blissett,"DF,MF",Brisbane,4.7,0,0.09,0.13,-0.09,0.85,1.7,1.06,0.43,2.34,1.7,0.21,19.8,17.7,3.19,1.7,50,21.1,62.6,2.55,5.32
Sarina Bolden,FW,Newcastle,16.2,0.56,0.22,0.13,0.34,2.1,1.6,0.56,0.19,2.84,3.58,0.74,14.2,22,6.05,0.99,37.5,21.6,43.6,1.6,6.54
Katie Bowler,"FW,DF",Adelaide Utd,2,0,0.05,0.05,-0.05,1,2,1,0,4.5,3.5,0.5,19.5,22.5,2.5,2,75,27.5,70,2,7.5
Daisy Brazendale,MF,Wellington Phoenix FC,3.2,0,0,0,0,0.31,1.88,0,0,2.5,0.63,0,28.4,6.25,0,0.63,50,18.1,25.6,0,0.94
India Breier,FW,W Sydney,1.2,0,,,,,,,,,,,,,,,,,,,
Hope Breslin,"FW,MF",Wellington Phoenix FC,16.5,0.18,0.12,0.08,0.07,1.33,2.91,0.48,0.18,3.88,2.42,0.3,28.6,11.6,1.52,2,33.3,24.2,47.3,0.97,4.12
Ava Briedis,"FW,MF",Melb Victory,1,0,0,0,0,0,2,0,0,6,1,1,22,19,3,6,33.3,41,98,3,9
Ashlee Brodigan,"FW,MF",Brisbane,4.8,0,0.13,0.06,-0.13,1.04,0.63,1.46,0.42,1.46,2.5,0,16.3,17.5,2.08,1.88,33.3,20.4,32.5,0.63,6.88
Ischia Brooking,MF,W Sydney,0.8,0,,,,,,,,,,,,,,,,,,,
Kelli Brown,"MF,FW",Wellington Phoenix FC,1.8,0,0.44,0.11,-0.44,1.67,0,1.67,1.11,0.56,3.89,0.56,17.8,16.1,2.78,3.89,28.6,18.9,53.9,0,5
Victoria Bruce,DF,W Sydney,21.8,0,0.03,0.02,-0.03,0.41,4.45,0.23,0.05,3.76,1.24,0.14,20.5,4.4,1.24,0.46,50,21.7,61.1,0.41,0.37
